true\pred,0,1,2,3,4,5,6,7,8,9,+,-,*,/,=
0,100,1,0,0,0,0,0,1,0,2,0,1,1,1,0
1,0,99,0,0,0,0,0,1,0,1,0,0,0,0,0
2,0,0,76,1,0,0,0,1,0,0,0,0,0,0,0
3,0,0,1,92,0,0,0,2,0,0,0,0,2,0,0
4,0,0,0,0,92,0,0,0,0,0,2,0,1,0,0
5,0,1,0,4,0,72,0,0,0,1,0,0,0,0,0
6,1,1,0,0,0,1,100,0,0,1,0,0,1,0,0
7,1,1,0,1,0,0,0,92,0,0,0,0,0,1,0
8,1,1,1,2,1,0,2,1,87,3,0,0,0,0,1
9,0,1,0,7,4,0,0,5,0,81,0,0,0,0,0
+,0,0,0,0,1,0,0,0,0,0,106,0,0,0,0
-,0,0,0,0,0,0,0,0,0,0,1,117,0,0,0
*,1,0,0,0,0,0,0,0,0,0,1,0,102,0,0
/,0,0,0,0,0,0,1,1,0,0,1,5,0,103,2
=,0,0,0,0,0,0,0,0,0,0,0,2,0,0,112
